time,miners_revenue
1616889600000,57299553.71911543
1616976000000,57114661.387312345
1617062400000,57284856.288626745
1617148800000,57009780.325832
1617235200000,57980296.08052807
1617321600000,58381611.377695166
1617408000000,59480107.350177266
1617494400000,58743471.75423837
1617580800000,58419120.700382814
1617667200000,58773562.005099036
1617753600000,58757413.67567698
1617840000000,58471870.587626226
1617926400000,57657929.71340339
1618012800000,58471257.234160736
1618099200000,59905003.84826227
1618185600000,60233329.80280356
1618272000000,59868911.62524255
1618358400000,60236912.391479425
1618444800000,60442826.392509125
1618531200000,64320989.025580294
1618617600000,62238132.313541315
1618704000000,59514610.19413272
1618790400000,59360628.03181725
1618876800000,57577491.359305516
1618963200000,57657910.612718284
1619049600000,55669941.52849775
1619136000000,53401614.090915136
1619222400000,54431696.42862361
1619308800000,55695931.48270018
1619395200000,54514695.38929067
1619481600000,54544601.25928907
1619568000000,53855657.75172471
1619654400000,54827628.8008504
1619740800000,52621092.32867854
1619827200000,53167146.10227929
1619913600000,53612530.29399739
1620000000000,56638806.38473241
1620086400000,60047836.20934869
1620172800000,61598134.35872197
1620259200000,62331366.06376114
1620345600000,64875813.0170803
1620432000000,66629175.490140624
1620518400000,68155384.43496403
1620604800000,68273692.793593
1620691200000,68247873.67406917
1620777600000,67758319.68777926
1620864000000,68247460.60098284
1620950400000,66389020.06330278
1621036800000,62673253.52184957
1621123200000,58917245.9031416
1621209600000,54666342.88336631
1621296000000,49781104.15044923
1621382400000,44927013.984823845
1621468800000,40923148.36560575
1621555200000,37992476.069362655
1621641600000,36039817.0082275
1621728000000,34566861.764196716
1621814400000,32743301.208140407
1621900800000,32142359.189659767
1621987200000,32420825.004884336
1622073600000,31909071.57500163
1622160000000,31585774.566060398
1622246400000,31286942.714581188
1622332800000,30738524.465662915
1622419200000,31351519.623796094
1622505600000,31529494.830184538
1622592000000,31766691.668508966
1622678400000,32917643.32493321
1622764800000,33826884.455007024
1622851200000,34189833.48030965
1622937600000,34727966.53790126
1623024000000,34916033.99556631
1623110400000,34651832.213413425
1623196800000,34286484.19643624
1623283200000,32579162.338227447
1623369600000,31401137.098474566
1623456000000,30446944.940463502
1623542400000,30473463.514302645
1623628800000,30020679.408424195
1623715200000,30642978.253314562
1623801600000,31040718.431092348
1623888000000,31426163.727009602
1623974400000,31939716.08938366
1624060800000,32526064.633376576
1624147200000,31478501.982301712
1624233600000,30387208.20309978
1624320000000,28487979.22589225
1624406400000,26393549.96719602
1624492800000,25228019.471628863
1624579200000,23968061.93480633
1624665600000,23183299.341893367
1624752000000,22412251.125250973
1624838400000,20886745.101393074
1624924800000,20523111.56991718
1625011200000,20816875.728564747
1625097600000,20527679.68271054
1625184000000,20344259.856062263
1625270400000,19833239.05408534
1625356800000,21379926.578505483
1625443200000,23349420.40173279
1625529600000,24663733.09660449
1625616000000,26101163.321220066
1625702400000,26997508.813566856
1625788800000,28063876.603406664
1625875200000,29100254.25145641
1625961600000,29854043.278266422
1626048000000,29939685.53448682
1626134400000,29669091.255156856
1626220800000,29241044.589010626
1626307200000,30361390.966956962
1626393600000,29849133.430334024
1626480000000,30173458.74692872
1626566400000,29319255.418148395
1626652800000,29538524.243862987
1626739200000,30364018.35696466
1626825600000,29606350.59374857
1626912000000,28590046.512128975
1626998400000,29446992.309920482
1627084800000,29112676.387429945
1627171200000,29746761.018027373
1627257600000,30348410.878838237
1627344000000,30752324.110954825
1627430400000,33181386.786430668
1627516800000,34770546.186750636
1627603200000,35990865.03541396
1627689600000,38007291.513221376
1627776000000,39235853.17968054
1627862400000,40332588.153914794
1627948800000,40253265.760068074
1628035200000,40397801.166207746
1628121600000,39511595.285951756
1628208000000,39373505.89643349
1628294400000,39300031.84941728
1628380800000,39904078.94491814
1628467200000,40376267.045410044
1628553600000,41417775.48659273
1628640000000,42360029.24253968
1628726400000,43705567.164092295
1628812800000,44133307.82306467
1628899200000,44196923.76881319
1628985600000,44613446.44661177
1629072000000,45903751.96757839
1629158400000,46579979.6877244
1629244800000,47009326.72515774
1629331200000,46408572.61668776
1629417600000,46570716.36058025
1629504000000,47489446.03256863
1629590400000,48052308.17121208
1629676800000,47696829.59491517
1629763200000,49814172.8208886
1629849600000,49415215.607242115
1629936000000,50858985.661618836
1630022400000,50899036.79680163
1630108800000,50269851.86981503
1630195200000,48976688.79036098
1630281600000,48666282.60009933
1630368000000,45584023.69393861
1630454400000,44833117.02502389
1630540800000,43808136.53646267
1630627200000,44231341.730850495
1630713600000,44670124.182672724
1630800000000,45455226.805225536
1630886400000,45967307.43647047
1630972800000,48261439.33220744
1631059200000,49273137.04963974
1631145600000,49288133.42693971
1631232000000,48296938.9738199
1631318400000,47246148.28377003
1631404800000,46289842.81452168
1631491200000,44966270.504015096
1631577600000,43263154.542034075
1631664000000,43148615.8322439
1631750400000,43328107.25108271
1631836800000,43482256.04165255
1631923200000,44230762.709883414
1632009600000,44996802.50686586
1632096000000,45748535.880772166
1632182400000,45912593.93402239
1632268800000,43606718.25236209
1632355200000,42615409.958696894
1632441600000,43268882.875249624
1632528000000,42636318.706625246
1632614400000,41330821.51569454
1632700800000,39895429.49631984
1632787200000,39427667.52559682
1632873600000,40437708.87582444
1632960000000,40211449.57484251
1633046400000,40321040.713701904
1633132800000,40365638.45814936
1633219200000,42945619.74572517
1633305600000,43995887.27705549
1633392000000,44627395.30916572
1633478400000,46295671.002054974
1633564800000,47644098.78253009
1633651200000,48017824.77687259
1633737600000,48172313.21181495
1633824000000,47514511.37721143
1633910400000,48970187.32115223
1633996800000,49721442.55889405
1634083200000,49228532.40708775
1634169600000,51550448.22864972
1634256000000,51889084.09320309
1634342400000,53703933.958966
1634428800000,53672872.140934765
1634515200000,54520007.05611723
1634601600000,55273684.5310262
1634688000000,57156277.75690596
1634774400000,57377161.579609
1634860800000,58667349.16353993
1634947200000,59886643.74300193
1635033600000,60470584.549131796
1635120000000,60047865.13395274
1635206400000,62368415.24302028
1635292800000,62019756.391226515
1635379200000,61639453.46350426
1635465600000,61282698.23490019
1635552000000,62024078.85446528
1635638400000,62650070.370954834
1635724800000,61945252.750846386
1635811200000,59548218.40806173
1635897600000,60047799.44129423
1635984000000,60785030.480975665
1636070400000,60494741.33862603
1636156800000,59388263.00747587
1636243200000,59244362.395068765
1636329600000,60153935.629479
1636416000000,60101361.52939731
1636502400000,60526965.69130756
1636588800000,60427983.337698124
1636675200000,61700198.72399854
1636761600000,61310812.279966995
1636848000000,61784945.834714636
1636934400000,62556195.70887758
1637020800000,63396602.83605052
1637107200000,62364691.39787878
1637193600000,61362306.54127924
1637280000000,59740243.396578
1637366400000,58560688.5111795
1637452800000,57308952.602808185
1637539200000,55120351.78957846
1637625600000,53430720.39749759
1637712000000,51960586.20038414
1637798400000,52047681.278898366
1637884800000,51233674.53280808
1637971200000,50794022.66417102
1638057600000,50124806.66375279
1638144000000,49793316.53160802
1638230400000,49908417.66361196
1638316800000,49975332.59838071
1638403200000,49001759.71806516
1638489600000,50129546.972693704
1638576000000,52068697.66595464
1638662400000,51935358.23679874
1638748800000,52543314.6637475
1638835200000,52679641.09516961
1638921600000,52806853.43116908
1639008000000,53210347.93360741
1639094400000,52427618.9055646
1639180800000,50623896.156673856
1639267200000,50302541.57715846
1639353600000,49104655.8839656
1639440000000,47759762.736836515
1639526400000,47040640.27474922
1639612800000,45620360.14631796
1639699200000,43491994.248714484
1639785600000,43129665.97339757
1639872000000,41883363.80399268
1639958400000,42011583.84130825
1640044800000,41849033.3969761
1640131200000,42377381.446280785
