time,n_transactions_total
1613433600000,615339652.2857143
1613520000000,615667113.7142857
1613606400000,615985361.0
1613692800000,616300346.5714285
1613779200000,616617295.4285715
1613865600000,616933857.8571428
1613952000000,617248219.1428572
1614038400000,617558846.7142857
1614124800000,617866041.4285715
1614211200000,618172066.2857143
1614297600000,618483557.1428572
1614384000000,618796463.0
1614470400000,619104402.0
1614556800000,619412299.5714285
1614643200000,619717645.2857143
1614729600000,620022391.2857143
1614816000000,620334299.4285715
1614902400000,620642975.1428572
1614988800000,620946358.7142857
1615075200000,621251397.8571428
1615161600000,621551718.7142857
1615248000000,621852762.1428572
1615334400000,622155428.0
1615420800000,622452959.2857143
1615507200000,622751840.5714285
1615593600000,623051129.4285715
1615680000000,623350880.7142857
1615766400000,623648918.1428572
1615852800000,623953745.1428572
1615939200000,624258772.0
1616025600000,624566417.0
1616112000000,624867129.5714285
1616198400000,625173446.5714285
1616284800000,625478956.5714285
1616371200000,625786021.5714285
1616457600000,626082861.1428572
1616544000000,626380273.2857143
1616630400000,626677228.2857143
1616716800000,626975243.5714285
1616803200000,627271493.8571428
1616889600000,627564604.4285715
1616976000000,627857814.0
1617062400000,628152845.4285715
1617148800000,628448722.8571428
1617235200000,628745416.1428572
1617321600000,629046309.2857143
1617408000000,629346168.5714285
1617494400000,629647814.7142857
1617580800000,629948603.0
1617667200000,630249005.4285715
1617753600000,630547292.2857143
1617840000000,630843955.1428572
1617926400000,631138958.7142857
1618012800000,631429406.7142857
1618099200000,631722367.4285715
1618185600000,632017840.8571428
1618272000000,632314347.7142857
1618358400000,632611259.0
1618444800000,632908399.8571428
1618531200000,633202031.1428572
1618617600000,633506909.7142857
1618704000000,633797177.2857143
1618790400000,634072532.5714285
1618876800000,634351135.0
1618963200000,634617554.8571428
1619049600000,634879525.0
1619136000000,635131480.2857143
1619222400000,635371351.1428572
1619308800000,635621779.2857143
1619395200000,635885821.0
1619481600000,636144991.2857143
1619568000000,636409076.4285715
1619654400000,636675739.2857143
1619740800000,636949603.7142857
1619827200000,637221301.4285715
1619913600000,637492460.4285715
1620000000000,637759557.7142857
1620086400000,638025583.7142857
1620172800000,638298224.0
1620259200000,638571317.7142857
1620345600000,638849077.8571428
1620432000000,639134209.4285715
1620518400000,639421828.4285715
1620604800000,639711458.7142857
1620691200000,640002884.4285715
1620777600000,640296679.5714285
1620864000000,640591977.5714285
1620950400000,640886214.1428572
1621036800000,641175395.7142857
1621123200000,641458636.7142857
1621209600000,641735335.0
1621296000000,642008264.8571428
1621382400000,642273718.1428572
1621468800000,642526202.1428572
1621555200000,642773169.2857143
1621641600000,643013310.8571428
1621728000000,643247747.4285715
1621814400000,643481051.8571428
1621900800000,643710747.7142857
1621987200000,643938014.4285715
1622073600000,644166986.8571428
1622160000000,644391412.1428572
1622246400000,644614014.5714285
1622332800000,644835380.7142857
1622419200000,645053066.5714285
1622505600000,645268760.8571428
1622592000000,645483475.7142857
1622678400000,645698181.7142857
1622764800000,645915731.1428572
1622851200000,646139081.2857143
1622937600000,646364809.7142857
1623024000000,646590356.1428572
1623110400000,646816561.2857143
1623196800000,647044049.1428572
1623283200000,647273489.1428572
1623369600000,647496999.7142857
1623456000000,647720202.0
1623542400000,647940748.7142857
1623628800000,648165194.8571428
1623715200000,648389727.1428572
1623801600000,648615337.2857143
1623888000000,648840211.8571428
1623974400000,649071155.4285715
1624060800000,649299996.2857143
1624147200000,649529804.1428572
1624233600000,649754497.5714285
1624320000000,649976276.0
1624406400000,650192843.7142857
1624492800000,650402833.8571428
1624579200000,650609861.1428572
1624665600000,650816004.1428572
1624752000000,651021747.7142857
1624838400000,651226620.7142857
1624924800000,651425717.0
1625011200000,651625993.8571428
1625097600000,651827819.0
1625184000000,652028011.2857143
1625270400000,652227783.2857143
1625356800000,652422987.5714285
1625443200000,652626251.8571428
1625529600000,652836215.2857143
1625616000000,653047087.2857143
1625702400000,653261280.1428572
1625788800000,653475555.7142857
1625875200000,653690021.0
1625961600000,653910116.4285715
1626048000000,654123270.0
1626134400000,654335318.0
1626220800000,654547148.7142857
1626307200000,654758916.5714285
1626393600000,654972971.1428572
1626480000000,655186382.2857143
1626566400000,655399227.0
1626652800000,655611084.0
1626739200000,655822512.0
1626825600000,656034908.7142857
1626912000000,656247486.1428572
1626998400000,656459840.2857143
1627084800000,656672511.5714285
1627171200000,656886332.1428572
1627257600000,657102377.0
1627344000000,657320396.8571428
1627430400000,657543526.2857143
1627516800000,657770068.8571428
1627603200000,657998984.4285715
1627689600000,658232828.8571428
1627776000000,658469933.1428572
1627862400000,658708338.1428572
1627948800000,658948436.0
1628035200000,659184897.4285715
1628121600000,659420282.8571428
1628208000000,659653848.7142857
1628294400000,659885051.5714285
1628380800000,660117006.0
1628467200000,660349739.2857143
1628553600000,660583348.0
1628640000000,660819162.8571428
1628726400000,661056954.5714285
1628812800000,661297987.4285715
1628899200000,661539655.4285715
1628985600000,661781433.4285715
1629072000000,662022955.5714285
1629158400000,662263150.4285715
1629244800000,662504910.7142857
1629331200000,662746352.2857143
1629417600000,662985729.7142857
1629504000000,663225484.2857143
1629590400000,663466725.7142857
1629676800000,663709294.5714285
1629763200000,663952924.1428572
1629849600000,664197585.8571428
1629936000000,664442795.7142857
1630022400000,664690200.4285715
1630108800000,664938481.1428572
1630195200000,665184589.8571428
1630281600000,665430725.8571428
1630368000000,665676821.4285715
1630454400000,665920157.1428572
1630540800000,666164726.4285715
1630627200000,666411687.7142857
1630713600000,666662943.0
1630800000000,666918231.2857143
1630886400000,667174855.1428572
1630972800000,667433533.8571428
1631059200000,667694460.1428572
1631145600000,667956262.2857143
1631232000000,668216845.0
1631318400000,668475157.5714285
1631404800000,668730258.0
1631491200000,668983761.0
1631577600000,669235535.4285715
1631664000000,669485449.7142857
1631750400000,669734015.5714285
1631836800000,669982364.4285715
1631923200000,670230211.1428572
1632009600000,670479586.0
1632096000000,670730561.4285715
1632182400000,670982469.8571428
1632268800000,671236446.5714285
1632355200000,671487089.0
1632441600000,671738651.2857143
1632528000000,671990063.8571428
1632614400000,672241993.7142857
1632700800000,672491818.5714285
1632787200000,672740893.4285715
1632873600000,672988252.2857143
1632960000000,673238093.2857143
1633046400000,673483213.2857143
1633132800000,673731543.5714285
1633219200000,673980128.2857143
1633305600000,674235326.1428572
1633392000000,674493854.7142857
1633478400000,674754088.7142857
1633564800000,675021521.8571428
1633651200000,675292603.7142857
1633737600000,675568428.7142857
1633824000000,675844568.7142857
1633910400000,676118640.2857143
1633996800000,676391857.0
1634083200000,676666515.0
1634169600000,676935709.4285715
1634256000000,677207942.0
1634342400000,677473923.4285715
1634428800000,677742814.8571428
1634515200000,678015128.7142857
1634601600000,678287802.2857143
1634688000000,678561465.0
1634774400000,678840387.2857143
1634860800000,679119759.0
1634947200000,679404866.7142857
1635033600000,679687832.2857143
1635120000000,679964570.0
1635206400000,680240703.4285715
1635292800000,680516615.0
1635379200000,680790166.2857143
1635465600000,681063550.5714285
1635552000000,681333339.0
1635638400000,681606076.7142857
1635724800000,681882419.0
1635811200000,682159860.1428572
1635897600000,682438371.4285715
1635984000000,682717379.1428572
1636070400000,682996082.1428572
1636156800000,683273672.5714285
1636243200000,683548424.4285715
1636329600000,683821026.0
1636416000000,684094591.5714285
1636502400000,684367386.1428572
1636588800000,684645645.4285715
1636675200000,684925524.0
1636761600000,685206191.4285715
1636848000000,685486367.1428572
1636934400000,685766887.1428572
1637020800000,686047058.8571428
1637107200000,686327669.5714285
1637193600000,686603376.5714285
1637280000000,686877556.8571428
1637366400000,687151601.2857143
1637452800000,687426055.2857143
1637539200000,687702046.8571428
1637625600000,687977898.8571428
1637712000000,688252433.1428572
1637798400000,688524416.8571428
1637884800000,688797610.0
1637971200000,689069894.0
1638057600000,689343307.1428572
1638144000000,689615239.2857143
1638230400000,689886392.1428572
1638316800000,690160410.2857143
1638403200000,690435966.5714285
1638489600000,690710024.0
1638576000000,690987977.1428572
1638662400000,691265370.1428572
1638748800000,691544570.4285715
1638835200000,691823950.1428572
1638921600000,692100947.5714285
1639008000000,692377074.4285715
1639094400000,692650206.1428572
1639180800000,692918841.1428572
1639267200000,693184657.8571428
1639353600000,693446746.4285715
1639440000000,693708790.4285715
1639526400000,693969880.1428572
1639612800000,694229503.1428572
1639699200000,694491189.5714285
1639785600000,694749101.8571428
1639872000000,695006202.2857143
1639958400000,695264954.0
1640044800000,695522505.0
1640131200000,695778483.1428572
1640217600000,696038214.5714285
1640304000000,696298886.2857143
1640390400000,696564819.8571428
1640476800000,696830255.7142857
1640563200000,697091238.0
1640649600000,697350990.4285715
1640736000000,697608216.2857143
1640822400000,697860017.4285715
1640908800000,698110177.8571428
1640995200000,698353455.1428572
1641081600000,698597760.1428572
1641168000000,698839455.0
1641254400000,699080696.4285715
1641340800000,699320261.8571428
1641427200000,699560773.8571428
1641513600000,699800618.2857143
1641600000000,700043241.8571428
1641686400000,700284136.1428572
1641772800000,700530263.8571428
1641859200000,700778203.4285715
1641945600000,701030589.4285715
1642032000000,701283740.8571428
1642118400000,701536849.2857143
1642204800000,701791276.4285715
1642291200000,702047752.8571428
1642377600000,702305671.7142857
1642464000000,702564532.5714285
1642550400000,702822215.0
1642636800000,703077974.2857143
1642723200000,703333340.7142857
