time,output_volume
1630800000000,3664774.6823886344
1630886400000,3453841.694489307
1630972800000,3388924.09009295
1631059200000,3383060.9068623087
1631145600000,3267135.2163245603
1631232000000,3217244.130649569
1631318400000,4213076.468389879
1631404800000,4612418.617581128
1631491200000,4942855.724458196
1631577600000,5868187.870062751
1631664000000,6930093.442894834
1631750400000,7023240.113428429
1631836800000,7094339.614963947
1631923200000,6165474.9682150725
1632009600000,5798734.396648216
1632096000000,5516363.304390711
1632182400000,4882217.708035366
1632268800000,4880757.837595748
1632355200000,5031705.051445211
1632441600000,5035238.009439582
1632528000000,5143334.051328084
1632614400000,5457464.515438393
1632700800000,5529997.7580408
1632787200000,5338672.245051545
1632873600000,4240112.564359742
1632960000000,4090792.6917677475
1633046400000,4093197.1061297995
1633132800000,4123400.1629779465
1633219200000,3837502.2675822964
1633305600000,3916970.5430119005
1633392000000,3839240.5774272173
1633478400000,4032101.9911821997
1633564800000,4167575.023498498
1633651200000,4185729.3263373026
1633737600000,4121159.1939901984
1633824000000,4119153.0827562558
1633910400000,4009560.1611805665
1633996800000,4102107.6506699063
1634083200000,3903666.0274084606
1634169600000,3664359.99046603
1634256000000,3411562.1775189745
1634342400000,3389414.8305184757
1634428800000,3352800.301783271
1634515200000,3414729.547944712
1634601600000,3366799.995859603
1634688000000,4454810.228105836
1634774400000,4690691.891080806
1634860800000,4922029.523993837
1634947200000,4875858.240521836
1635033600000,4839652.388797241
1635120000000,4773278.338359977
1635206400000,4661881.073014415
1635292800000,3574146.8297342737
1635379200000,3290258.5711595407
1635465600000,3089963.2584908544
1635552000000,3029307.0797680975
1635638400000,3100744.4364230535
1635724800000,3083699.3691516267
1635811200000,3083177.649238982
1635897600000,3085027.7248050147
1635984000000,3153938.326517567
1636070400000,3333055.2006631824
1636156800000,3509039.0451148995
1636243200000,3674913.8146420154
1636329600000,3789449.371231504
1636416000000,4162212.729835659
1636502400000,4363991.783140811
1636588800000,4536718.996004074
1636675200000,4488080.310312231
1636761600000,4445246.520513901
1636848000000,4298028.938862705
1636934400000,4237259.8174240235
1637020800000,4024168.35005008
1637107200000,5048826.940766731
1637193600000,5272911.128035969
1637280000000,5505841.418721391
1637366400000,5587485.014875899
1637452800000,5614538.933512439
1637539200000,5693572.7573511
1637625600000,5689403.656071665
1637712000000,4585142.026478642
1637798400000,4401439.837405595
1637884800000,4367471.632510525
1637971200000,4427248.013704242
1638057600000,4340847.913010051
1638144000000,4287970.565309714
1638230400000,4262245.005442419
1638316800000,4245122.7450460885
1638403200000,4084674.731142352
1638489600000,3878238.7631642073
1638576000000,3660962.905351694
1638662400000,3871078.9450595686
1638748800000,3828227.5693440395
1638835200000,4013143.560906048
1638921600000,4151094.296711638
1639008000000,4230921.344830089
1639094400000,4132327.6198810465
1639180800000,4062019.318605166
1639267200000,3804565.0380460867
1639353600000,3710239.0507508
1639440000000,3366824.212681122
1639526400000,3886127.910032395
1639612800000,3830777.942249179
1639699200000,3877808.4154606774
1639785600000,3881851.3717326433
1639872000000,3914487.6095789364
