time,hash_rate
1640217600000,170791102.0193073
1640304000000,177148517.28561953
1640390400000,177492161.35406885
1640476800000,180806021.9426724
1640563200000,178302007.20415702
1640649600000,179070270.97298446
1640736000000,174504391.82377318
1640822400000,174068259.95508352
1640908800000,168463241.61080185
1640995200000,168201120.3069295
1641081600000,172541536.0396956
1641168000000,176678396.04464337
1641254400000,175299442.70966077
1641340800000,177540241.8790075
1641427200000,178402087.71337157
1641513600000,183056055.2189378
1641600000000,181504732.7170824
1641686400000,176749085.90677053
1641772800000,173918482.77553186
1641859200000,174363600.71349812
1641945600000,176371351.5312601
1642032000000,174573549.60401586
1642118400000,180388266.9640267
1642204800000,183775678.01539254
1642291200000,187614454.99559858
1642377600000,193499041.2223978
1642464000000,196787486.4667856
1642550400000,192979813.02591553
1642636800000,198864399.25271472
1642723200000,197133638.5977738
1642809600000,194677774.9425014
1642896000000,191300712.3087483
1642982400000,187690405.00844288
1643068800000,188206013.9544906
1643155200000,193426935.944432
1643241600000,188081518.03913763
1643328000000,183617610.0990903
1643414400000,187692057.64448118
1643500800000,190530143.19354087
1643587200000,191476171.70989412
1643673600000,190151731.7869996
1643760000000,190530143.19354087
1643846400000,194881874.36876577
1643932800000,197909165.6210961
1644019200000,193406553.6811251
1644105600000,187770388.43988654
1644192000000,189714890.12531072
1644278400000,188436171.18170857
1644364800000,188487943.46708378
1644451200000,186075335.0385428
1644537600000,186124754.03821912
1644624000000,188404635.62026238
1644710400000,201293483.93231255
1644796800000,201672567.70619637
1644883200000,204894779.78420892
1644969600000,208875159.40998912
1645056000000,211907829.60105976
1645142400000,214510390.7270812
1645228800000,214208889.76468316
1645315200000,208357121.0895281
1645401600000,207009028.06914553
1645488000000,202437880.40399176
1645574400000,199456437.81206557
1645660800000,199679075.4454185
1645747200000,195430088.29567224
1645833600000,195430088.29567224
1645920000000,190663500.7762656
1646006400000,189074638.26979667
1646092800000,195231480.4823636
1646179200000,197217558.6154497
1646265600000,194437049.22912914
1646352000000,197493412.73759124
1646438400000,198075006.7035949
1646524800000,197313706.5635507
1646611200000,195932902.69002447
1646697600000,194303170.37938264
1646784000000,191084575.56227192
1646870400000,191073306.1250443
1646956800000,190169638.8688875
1647043200000,189973991.09227344
1647129600000,196430367.72053817
1647216000000,200343323.2528198
1647302400000,201321562.13589022
1647388800000,199560732.14636347
1647475200000,202886744.34880286
1647561600000,205592535.95527083
1647648000000,206471636.31633133
1647734400000,206168530.70117497
1647820800000,206648709.46885267
1647907200000,206542638.18306583
1647993600000,208395817.76893058
1648080000000,206338814.92802444
1648166400000,203142589.24631837
1648252800000,205676997.74939147
1648339200000,206846724.75080982
1648425600000,202362771.24537283
1648512000000,203532498.24679115
1648598400000,203922407.24726394
1648684800000,201972862.24490002
